1 Var keyStart
1 a Identifier
1 , terminalComma
1 b Identifier
1 , terminalComma
1 c Identifier
1 , terminalComma
1 d Identifier
1 : colon
1 Boolean keyEndVars
1 ; lineEnd
3 Begin keyStartVars
3 a Identifier
3 = equal
3 . terminalPeriod
3 NOT binaryNot
3 . terminalPeriod
3 0 constFalse
3 ; lineEnd
4 b Identifier
4 = equal
4 . terminalPeriod
4 NOT binaryNot
4 . terminalPeriod
4 1 constTrue
4 ; lineEnd
5 c Identifier
5 = equal
5 a Identifier
5 . terminalPeriod
5 OR binaryOR
5 . terminalPeriod
5 b Identifier
5 ; lineEnd
6 d Identifier
6 = equal
6 ( parenthLeft
6 c Identifier
6 . terminalPeriod
6 XOR unaryOperand
6 . terminalPeriod
6 a Identifier
6 ) parenthRight
6 . terminalPeriod
6 AND binaryAND
6 . terminalPeriod
6 b Identifier
6 ; lineEnd
7 End keyStop
7 . terminalPeriod
